panelist-id,age,gender,children,marital,Household Size,Social Class,Working Status,Number of TV sets,Digital Status,Cable/Satellite,Multi Channel Status,TV Platform Reception Type
15621,16-24,F,0,single,4 people,C1,f.t. education / under school,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
24364,16-24,F,0,single,4 people,C1,f.t. education / under school,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
81667,45-64,F,0,single,2 people,AB,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
11880,16-24,F,0,married,2 people,C2,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
91297,35-44,M,0,married,2 people,C2,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
55564,25-34,M,1,married,3 people,AB,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
41298,25-34,F,1,married,3 people,AB,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
74641,16-24,M,0,single,1 person,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
13500,25-34,F,0,married,2 people,D,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
72531,25-34,M,0,married,2 people,D,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
72284,35-44,F,0,single,1 person,AB,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
96497,45-64,M,1,single,2 people,C2,30+ hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
82558,35-44,F,0,single,2 people,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
57080,16-24,M,0,single,2 people,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
15304,25-34,M,2,single,4 people,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
26215,45-64,M,0,married,3 people,E,No paid work,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
64799,45-64,F,0,married,3 people,E,No paid work,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
32431,16-24,F,0,single,3 people,E,f.t. education / under school,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
82673,25-34,F,1,single,2 people,C1,8-29 hours per week,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
44098,45-64,M,0,single,1 person,E,No paid work,1,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
95608,16-24,F,0,married,2 people,C2,30+ hours per week,1,No Digital TV,None,No Multichannel TV,No TV At All
94405,25-34,M,0,married,2 people,C2,30+ hours per week,1,No Digital TV,None,No Multichannel TV,No TV At All
30829,25-34,F,1,married,3 people,C2,No paid work,1,No Digital TV,None,No Multichannel TV,No TV At All
46771,35-44,M,1,married,3 people,C2,30+ hours per week,1,No Digital TV,None,No Multichannel TV,No TV At All
43447,35-44,M,1,married,4 people,C1,No paid work,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
25307,35-44,F,1,married,4 people,C1,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
40792,45-64,M,0,married,3 people,D,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
22873,45-64,F,0,married,3 people,D,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
77828,16-24,F,0,single,3 people,D,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
73329,45-64,F,1,single,3 people,AB,30+ hours per week,2,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
83284,45-64,M,0,married,3 people,C2,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
71953,45-64,F,0,married,3 people,C2,30+ hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
67074,25-34,M,0,single,3 people,C2,8-29 hours per week,3,Digital Terrestrial Only,None,Digital Multichannel Only,Digital Terrestrial Only
